Hydration Score Energy Score =,(Carbs Loss + Salts Loss) / 2 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Hydration Score =,1- (Hydration Score Energy Loss),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Health Score Energy Loss =,(Carbs loss + PH average loss + Salts loss + Urea loss)/4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Health Score =,1- (Health Score Energy Loss),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Carbs,,,,PH Average,,,,Salts,,,,Urea,,,,Example Numbers ONLY,,,
,,Read,Loss,Increment,,Read,Loss,Increment,,Read,Loss,Increment,,Read,Loss,Increment,,Hydration Score,Hydration Score Energy Loss,Health Score,Health Score Energy Loss
,,0,96.00%,3.67%,,4.8,96%,0.50%,,0,96%,1.38%,,0,96%,1.60%,,4.00%,96.00%,4.00%,96.00%
,,0.1,96.00%,3.67%,,4.81,96%,0.50%,,0.1,96%,1.38%,,0.1,94.40%,1.60%,,4.00%,96.00%,4.40%,95.60%
,,0.2,96.00%,3.67%,,4.82,96%,0.50%,,0.2,96%,1.38%,,0.2,92.80%,1.60%,,4.00%,96.00%,4.80%,95.20%
,,0.3,96.00%,3.67%,,4.83,96%,0.50%,,0.3,96%,1.38%,,0.3,91.20%,1.60%,,4.00%,96.00%,5.20%,94.80%
,,0.4,96.00%,3.67%,,4.84,96%,0.50%,,0.4,96%,1.38%,,0.4,89.60%,1.60%,,4.00%,96.00%,5.60%,94.40%
,,0.5,96.00%,3.67%,,4.85,96%,0.50%,,0.5,96%,1.38%,,0.5,88.00%,1.60%,,4.00%,96.00%,6.00%,94.00%
,,0.6,96.00%,3.67%,,4.86,96%,0.50%,,0.6,96%,1.38%,,0.6,86.40%,1.60%,,4.00%,96.00%,6.40%,93.60%
,,0.7,96.00%,3.67%,,4.87,96%,0.50%,,0.7,96%,1.38%,,0.7,84.80%,1.60%,,4.00%,96.00%,6.80%,93.20%
,,0.8,96.00%,3.67%,,4.88,96%,0.50%,,0.8,96%,1.38%,,0.8,83.20%,1.60%,,4.00%,96.00%,7.20%,92.80%
